question,answer
Who is the Chairperson of the Department of Artificial Intelligence at IUB?,Prof. Dr. Najia Sahar is the Chairperson of the Department of Artificial Intelligence at IUB.
Who is the Chairperson of the Department of Computer Science at IUB?,Prof. Dr. Imran Sarwar Bajwa is the Chairperson of the Department of Computer Science at IUB.
Who is the Chairperson of the Department of Software Engineering at IUB?,Dr. Malik Muhammad Saad Missen is the Chairperson of the Department of Software Engineering at IUB.
Who is the Chairperson of the Department of Pakistan Studies at IUB?,Dr. Robina Yasmin is the Chairperson of the Department of Pakistan Studies at IUB.
Where is the Khawaja Fareed Campus located?,The Khawaja Fareed Campus is located near Abbasia High School on Railway Road in Bahawalpur. It houses the Faculty of Pharmacy and the Faculty of Medicine and Allied Health Sciences.
Who is the Chairperson of the Department of Computer Science at IUB?,Prof. Dr. Imran Sarwar Bajwa is the Chairperson of the Department of Computer Science at IUB. He leads the department in academic and research activities.
Who is the Chairperson of the Department of Software Engineering at IUB?,Dr. Malik Muhammad Saad Missen is the Chairperson of the Department of Software Engineering at IUB. He oversees the software engineering programs and faculty.
Who is the Chairperson of the Department of Artificial Intelligence at IUB?,Prof. Dr. Najia Sahar is the Chairperson of the Department of Artificial Intelligence at IUB. She leads the AI department which offers specialized programs in artificial intelligence.
How many faculty members does IUB have?,"Currently, around 2,000 faculty members, including 600+ PhDs, are serving at IUB."
What is Civil Engineering?,"Civil Engineering deals with the design, construction, and maintenance of the built environment, including roads, bridges, dams, buildings, and water supply systems. It is one of the oldest and broadest engineering disciplines."
What is Mechanical Engineering?,"Mechanical Engineering involves the design, analysis, manufacturing, and maintenance of mechanical systems. It covers areas like thermodynamics, robotics, automotive systems, HVAC, and materials science."
What is Electrical Engineering?,"Electrical Engineering focuses on the study and application of electricity, electronics, and electromagnetism. It includes power generation, transmission, control systems, telecommunications, and electronic circuit design."
What is Chemical Engineering?,"Chemical Engineering applies physical sciences (chemistry, physics, and biology) and mathematics to convert raw materials into useful products, such as fuels, pharmaceuticals, plastics, and food. It involves process design, thermodynamics, and reaction engineering."
What is Computer Engineering?,"Computer Engineering integrates computer science and electrical engineering to design and develop computer hardware, software, networks, and embedded systems. It covers microprocessors, operating systems, and computer architecture."
What is Aerospace Engineering?,"Aerospace Engineering deals with the design, development, testing, and production of aircraft, spacecraft, and related systems. It has two main branches: Aeronautical Engineering (aircraft) and Astronautical Engineering (spacecraft)."
What is Biomedical Engineering?,"Biomedical Engineering applies engineering principles to medicine and biology for healthcare purposes. It includes medical device design, prosthetics, imaging systems (MRI, CT scans), and tissue engineering."
What is Environmental Engineering?,"Environmental Engineering focuses on protecting the environment by managing waste, controlling pollution, and improving water and air quality. It involves sustainable design, resource management, and environmental impact assessment."
What is Industrial Engineering?,"Industrial Engineering optimizes complex processes, systems, and organizations by reducing waste and improving efficiency. It covers supply chain management, operations research, quality control, and human factors engineering."
What is Petroleum Engineering?,"Petroleum Engineering deals with the exploration, extraction, and production of oil and natural gas. It includes reservoir engineering, drilling, well completions, and production optimization."
What is Mechatronics Engineering?,"Mechatronics Engineering is a multidisciplinary field that integrates mechanical, electronic, computer, and control engineering to design intelligent systems and products, such as robotics, automated manufacturing, and automotive electronics."
What is Telecommunications Engineering?,"Telecommunications Engineering focuses on the design and management of communication systems, including wired and wireless networks, satellite communications, signal processing, and data transmission protocols."
What is Materials Engineering?,"Materials Engineering studies the properties, processing, and applications of materials (metals, ceramics, polymers, composites, and nanomaterials). It involves material selection, failure analysis, and development of new materials."
What is Nuclear Engineering?,"Nuclear Engineering deals with the application of nuclear energy and radiation. It covers nuclear power plant design, radiation protection, nuclear fuel cycles, and medical applications such as cancer therapy."
What is Mining Engineering?,"Mining Engineering involves the exploration, extraction, and processing of minerals from the earth. It includes mine design, rock mechanics, mineral processing, safety, and environmental management."
What is Agricultural Engineering?,"Agricultural Engineering applies engineering principles to farming and food production. It covers farm machinery, irrigation systems, soil conservation, post-harvest processing, and renewable energy applications in agriculture."
What is Transportation Engineering?,"Transportation Engineering is a branch of Civil Engineering that focuses on the planning, design, operation, and maintenance of transportation systems, including highways, railways, airports, and urban transit networks."
What is Robotics Engineering?,"Robotics Engineering deals with the design, construction, programming, and operation of robots. It combines mechanical, electrical, and software engineering to create autonomous or semi-autonomous machines for industrial, medical, and service applications."
How can I choose the right engineering field?,"To choose the right field, consider your interests in math and science, the type of problems you enjoy solving (e.g., structures, circuits, software, or chemical processes), job market demand, and your long-term career goals. Research each field and consult faculty or professionals in the industry."
What are the career prospects for engineers?,"Engineers have excellent career prospects across diverse sectors, including construction, manufacturing, technology, energy, healthcare, and aerospace. Many engineers work in design, research, consulting, project management, and senior leadership roles. Demand varies by specialization, with Computer, Software, and Environmental Engineering currently seeing high growth."
Which engineering field has the highest salary?,"Generally, Petroleum Engineering, Computer Engineering, Software Engineering, and Chemical Engineering tend to offer the highest starting salaries. However, salaries vary widely by country, industry, experience level, and company size."
Can I switch between engineering fields after graduation?,"Yes, many engineers switch fields through further education (e.g., a master's degree in a new specialization), professional certifications, or on-the-job training. Core skills in math, problem-solving, and systems thinking are transferable across most engineering disciplines."
What is the role of an engineering regulatory body?,"In most countries, a regulatory body (e.g., PEC in Pakistan, ABET in the US, or the Engineering Council in the UK) sets standards for engineering education, accredits programs, registers professional engineers, and enforces ethical codes of practice."
How do I become a registered professional engineer?,"Typically, you need to complete an accredited engineering degree, gain relevant work experience (usually 3–5 years), and pass a professional practice examination. The exact requirements vary by country. Contact your local engineering regulatory body for specific details."
What is Civil Engineering?,"Civil Engineering deals with the design, construction, and maintenance of the built environment, including roads, bridges, dams, buildings, airports, and water supply systems. It is one of the oldest and broadest engineering disciplines."
What is Mechanical Engineering?,"Mechanical Engineering involves the design, analysis, manufacturing, and maintenance of mechanical systems. It covers areas like thermodynamics, fluid mechanics, robotics, automotive systems, HVAC, and materials science."
What is Electrical Engineering?,"Electrical Engineering focuses on the study and application of electricity, electronics, and electromagnetism. It includes power generation and transmission, control systems, telecommunications, electronic circuit design, and renewable energy systems."
What is Chemical Engineering?,"Chemical Engineering applies physical sciences (chemistry, physics, and biology) and mathematics to convert raw materials into useful products. It covers process design, thermodynamics, reaction engineering, and industries like pharmaceuticals, plastics, fuels, and food processing."
What is Computer Engineering?,"Computer Engineering integrates computer science and electrical engineering to design and develop computer hardware, software, networks, and embedded systems. It covers microprocessors, computer architecture, operating systems, and digital logic design."
What is Aerospace Engineering?,"Aerospace Engineering deals with the design, development, testing, and production of aircraft, spacecraft, and related systems. It has two main branches: Aeronautical Engineering (aircraft) and Astronautical Engineering (spacecraft and missiles)."
What is Biomedical Engineering?,"Biomedical Engineering applies engineering principles to medicine and biology for healthcare purposes. It includes medical device design, prosthetics, artificial organs, imaging systems like MRI and CT scans, tissue engineering, and biomechanics."
What is Environmental Engineering?,"Environmental Engineering focuses on protecting the environment by managing waste, controlling pollution, and improving water and air quality. It involves sustainable design, water treatment, waste management, and environmental impact assessment."
What is Industrial Engineering?,"Industrial Engineering optimizes complex processes, systems, and organizations by reducing waste and improving efficiency. It covers supply chain management, operations research, quality control, human factors engineering, and production planning."
What is Petroleum Engineering?,"Petroleum Engineering deals with the exploration, extraction, and production of oil and natural gas. It includes reservoir engineering, drilling, well completions, production optimization, and enhanced recovery techniques."
What is Mechatronics Engineering?,"Mechatronics Engineering is a multidisciplinary field that integrates mechanical, electronic, computer, and control engineering to design intelligent systems and products, such as robotics, automated manufacturing, automotive electronics, and smart devices."
What is Telecommunications Engineering?,"Telecommunications Engineering focuses on the design and management of communication systems, including wired and wireless networks, satellite communications, signal processing, optical fiber systems, and data transmission protocols."
What is Materials Engineering?,"Materials Engineering studies the properties, processing, and applications of materials such as metals, ceramics, polymers, composites, and nanomaterials. It involves material selection, failure analysis, and the development of new materials for advanced applications."
What is Nuclear Engineering?,"Nuclear Engineering deals with the application of nuclear energy and radiation. It covers nuclear power plant design, radiation protection, nuclear fuel cycles, reactor physics, and medical applications such as cancer therapy and imaging."
What is Mining Engineering?,"Mining Engineering involves the exploration, extraction, and processing of minerals from the earth. It includes mine design, rock mechanics, mineral processing, safety, environmental management, and resource estimation."
What is Agricultural Engineering?,"Agricultural Engineering applies engineering principles to farming and food production. It covers farm machinery, irrigation systems, soil conservation, post-harvest processing, greenhouse design, and renewable energy applications in agriculture."
What is Transportation Engineering?,"Transportation Engineering is a branch of Civil Engineering that focuses on the planning, design, operation, and maintenance of transportation systems, including highways, railways, airports, urban transit networks, and ports."
What is Robotics Engineering?,"Robotics Engineering deals with the design, construction, programming, and operation of robots. It combines mechanical, electrical, and software engineering to create autonomous or semi-autonomous machines for industrial, medical, service, and military applications."
How can I choose the right engineering field?,"To choose the right field, consider your interests in math and science, the type of problems you enjoy solving (structures, circuits, software, or chemical processes), job market demand, salary potential, and your long-term career goals. Research each field, speak with professionals, and consult faculty or career advisors."
What are the career prospects for engineers?,"Engineers have excellent career prospects across diverse sectors including construction, manufacturing, technology, energy, healthcare, and aerospace. Many engineers work in design, research, consulting, project management, and senior leadership roles. Demand varies by specialization, with Computer, Software, Environmental, and Biomedical Engineering currently seeing high growth."
Which engineering field has the highest salary?,"Generally, Petroleum Engineering, Computer Engineering, Software Engineering, Chemical Engineering, and Aerospace Engineering tend to offer the highest starting salaries. However, salaries vary widely by country, industry, experience level, employer, and economic conditions."
Can I switch between engineering fields after graduation?,"Yes, many engineers switch fields through further education such as a master's degree in a new specialization, professional certifications, or on-the-job training. Core skills in mathematics, problem-solving, and systems thinking are transferable across most engineering disciplines."
What is the role of an engineering regulatory body?,"In most countries, a regulatory body such as PEC in Pakistan, ABET in the United States, or the Engineering Council in the UK sets standards for engineering education, accredits programs, registers professional engineers, and enforces ethical codes of practice to protect public safety."
How do I become a registered professional engineer?,"Typically, you need to complete an accredited engineering degree, gain relevant work experience usually lasting 3 to 5 years, and pass a professional practice examination. The exact requirements vary by country. Contact your local engineering regulatory body for specific details."
What is Law?,"Law is a system of rules, regulations, and principles that are created and enforced through social or governmental institutions to regulate behavior. It ensures justice, order, and fairness in society. Law covers a wide range of fields including criminal, civil, constitutional, corporate, and international law."
What is Criminal Law?,"Criminal Law deals with conduct that is considered offensive to society as a whole. It involves prosecution by the state of individuals or organizations accused of committing crimes. Criminal offenses range from minor misdemeanors to serious felonies, and punishments may include fines, imprisonment, or community service."
What is Constitutional Law?,"Constitutional Law governs the interpretation and implementation of a country's constitution. It defines the structure of government, the distribution of powers among branches of government, and the fundamental rights of citizens. Constitutional lawyers often handle cases involving fundamental rights, government powers, and judicial review."
What is International Law?,"International Law governs the legal relationships between sovereign nations and international organizations. It covers treaties, trade agreements, human rights law, humanitarian law, and the laws of war. International law can be public (between states) or private (between individuals or entities across borders)."
What are the career opportunities in law?,"Career opportunities in law include practicing as an advocate or attorney, serving as a judge, working in corporate legal departments, government agencies, international organizations, non-profits, and academia. Other roles include legal consultants, legal aid workers, mediators, arbitrators, and legal researchers."
What departments are part of the Faculty of Science at IUB?,"The Faculty of Science includes the Institute of Physics, Institute of Biochemistry and Biotechnology, Department of Chemistry, Department of Botany, Department of Zoology, Department of Mathematics, Department of Statistics, Department of Geography, and Department of Bioinformatics."
What programs are offered by the Department of Botany?,The Department of Botany offers BS programs in Botany. It was listed among the departments offering admissions in recent admission campaigns.
What programs are offered by the Department of Zoology?,The Department of Zoology offers BS programs in Zoology. It was listed among the departments offering admissions in recent admission campaigns.
What programs are offered by the Department of Mathematics?,The Department of Mathematics offers BS and Master's programs in Mathematics. It was listed among the departments offering admissions in recent admission campaigns.
What programs are offered by the Department of Statistics?,The Department of Statistics offers BS and Master's programs in Statistics. It was listed among the departments offering admissions in recent admission campaigns.
What programs are offered by the Department of Geography?,The Department of Geography offers BS and Master's programs in Geography. It was listed among the departments offering admissions in recent admission campaigns.
Who is the Dean of the Faculty of Computing at IUB?,Prof. Dr. Dost Muhammad Khan is the Dean of the Faculty of Computing at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Computer Science at IUB?,Dr. Humaira Arshad (also spelled Humeera Arshad) is the Chairperson of the Department of Computer Science at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Artificial Intelligence at IUB?,Prof. Dr. Najia Sehar is the Chairperson of the Department of Artificial Intelligence at The Islamia University of Bahawalpur.
Who is the Dean of the Faculty of Computing at IUB?,Prof. Dr. Dost Muhammad Khan is the Dean of the Faculty of Computing at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Artificial Intelligence at IUB?,Prof. Dr. Najia Sahar is the Chairperson of the Department of Artificial Intelligence at The Islamia University of Bahawalpur.
Who is the Dean of the Faculty of Engineering and Technology at IUB?,Prof. Dr. Muhammad Amjad is the Dean of the Faculty of Engineering and Technology at The Islamia University of Bahawalpur.
Who is the Dean of the Faculty of Physical and Mathematical Sciences at IUB?,Prof. Dr. Saeed Ahmad Buzdar is the Dean of the Faculty of Physical and Mathematical Sciences at The Islamia University of Bahawalpur. He also serves as the Director of the Institute of Physics.
Who is the Dean of the Faculty of Chemical and Biological Sciences at IUB?,"The Dean position is currently held by Prof. Dr. Shazia Anjum, who serves as Dean of the Faculty of Science, which includes Chemical and Biological Sciences."
Who is the Dean of the Faculty of Social Sciences at IUB?,Prof. Dr. Rubina Bhatti is the Dean of the Faculty of Social Sciences at The Islamia University of Bahawalpur.
Who is the Dean of the Faculty of Pharmacy at IUB?,Prof. Dr. Qaiser Jabeen is the Dean of the Faculty of Pharmacy at The Islamia University of Bahawalpur.
What departments are part of the Faculty of Science at IUB?,"The Faculty of Science includes the Institute of Physics, Department of Chemistry, Department of Botany, Department of Zoology, Department of Mathematics, Department of Statistics, Department of Geography, and Department of Bioinformatics."
What programs are offered by the Department of Botany?,"The Department of Botany offers BS programs in Botany. Research areas include plant taxonomy, plant physiology, ecology, and plant pathology."
What programs are offered by the Department of Zoology?,"The Department of Zoology offers BS programs in Zoology. Research areas include animal physiology, ecology, entomology, and wildlife conservation."
What programs are offered by the Department of Mathematics?,"The Department of Mathematics offers BS and Master's programs in Mathematics. Research areas include pure mathematics, applied mathematics, and mathematical modeling."
What programs are offered by the Department of Statistics?,"The Department of Statistics offers BS and Master's programs in Statistics. Research areas include statistical modeling, data analysis, and probability theory."
What programs are offered by the Department of Geography?,"The Department of Geography offers BS and Master's programs in Geography. Research areas include physical geography, human geography, and geographic information systems (GIS)."
Who is the Dean of the Faculty of Computing at IUB?,Prof. Dr. Dost Muhammad Khan is the Dean of the Faculty of Computing at The Islamia University of Bahawalpur. He also serves as the In-charge of the Faculty of Computing and Chairman of the Department of Information Technology.
Who is the Chairperson of the Department of Computer Science at IUB?,Dr. Humaira Arshad is the Chairperson of the Department of Computer Science at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Software Engineering at IUB?,Dr. Nadeem Akhtar is the Chairperson and Associate Professor in the Department of Software Engineering at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Artificial Intelligence at IUB?,Prof. Dr. Najia Sahar is the Chairperson of the Department of Artificial Intelligence at The Islamia University of Bahawalpur.
Who are the key faculty members in the Department of Urdu?,"Key faculty members include Prof. Dr. Amir Sohail (Chairman, Department of Urdu), Prof. Dr. Robina Rafique (Chairperson), Dr. Muhammad Asghar Sial (Assistant Professor and Head of Department at Bahawalnagar Campus), and Dr. Israr Ahmed (Lecturer at Bahawalnagar Campus)."
What is the academic background of Dr. Muhammad Asghar Sial?,"Dr. Muhammad Asghar Sial is a seasoned academic with more than 22 years of experience in education, mentorship, and scholarly leadership. He holds an M.Phil in Urdu and Iqbaliat as well as an LLB from BZU Multan, reflecting his multidisciplinary academic background. His academic journey culminated in a Ph.D. from the University of Karachi, and he completed his Post-Doctoral Research in August 2024 from The Islamia University of Bahawalpur."
What is the Faculty of Arts and Languages at IUB?,"The Faculty of Arts and Languages includes BS English Literature, BS English Language, BS History, BS Archeology, BS Pakistan Studies, BS Persian, BS Seraiki, and BS Urdu and Iqbaliat. The College of Art and Design offers programs in Painting, Graphic Arts, Sculpture, Graphic Design, and Textile Design."
What is the Faculty of Arts and Languages at IUB?,"The Faculty of Arts and Languages includes the Department of English Literature, Department of English Language and Linguistics, Department of History, Department of Archeology, Department of Pakistan Studies, Department of Persian, Department of Seraiki, Department of Urdu and Iqbaliat, and the College of Art and Design."
Who are the key faculty members in the Department of Urdu?,"Key faculty members include Prof. Dr. Syed Amir Sohail (Chairman), Prof. Dr. Robina Rafique (Chairperson), Dr. Muhammad Asghar Sial (Assistant Professor and Head of Department at Bahawalnagar Campus), Dr. Israr Ahmed (Lecturer at Bahawalnagar Campus), Syed Fakhar Imam Shah (Lecturer at Bahawalnagar Campus), Dr. Qamar Abbas (Lecturer), Dr. Mazhar Abbas (Assistant Professor), and Mr. Zeeshan Tabbasum (Assistant Professor)."
What is the academic background of Dr. Muhammad Asghar Sial?,"Dr. Muhammad Asghar Sial is an experienced academic with more than 22 years of experience in education. He holds an M.Phil in Urdu and Iqbaliat as well as an LLB from BZU Multan. His academic journey culminated in a Ph.D. from the University of Karachi, and he completed his Post-Doctoral Research in August 2024 from IUB."
What is the Faculty of Arts and Languages at IUB?,"The Faculty of Arts and Languages includes BS English Literature, BS English Language, BS History, BS Archeology, BS Pakistan Studies, BS Persian, BS Seraiki, and BS Urdu and Iqbaliat. The College of Art and Design offers programs in Painting, Graphic Arts, Sculpture, Graphic Design, and Textile Design."
What is the Faculty of Arts and Languages at IUB?,"The Faculty of Arts and Languages at The Islamia University of Bahawalpur includes the Department of English, Department of Urdu and Iqbaliat, and other departments such as History, Archeology, Pakistan Studies, Persian, and Seraiki. The College of Art and Design also falls under this faculty."
Who is the Dean of the Faculty of Arts and Languages at IUB?,Prof. Dr. Syed Amir Sohail is the Dean of the Faculty of Arts and Languages at The Islamia University of Bahawalpur.
What is the Faculty of Arts and Languages at IUB?,"The Faculty of Arts and Languages at The Islamia University of Bahawalpur includes the Department of English Literature, Department of English Language and Linguistics, Department of History, Department of Archaeology, Department of Pakistan Studies, Department of Persian, Department of Seraiki, Department of Urdu and Iqbaliat, and the College of Art and Design."
Who is the Dean of the Faculty of Arts and Languages at IUB?,Prof. Dr. Syed Amir Sohail is the Dean of the Faculty of Arts and Languages at The Islamia University of Bahawalpur.
Who is the Chairperson of the Department of Pakistan Studies at IUB?,"The Department of Pakistan Studies has had Prof. Dr. Aftab Hussain Gillani serve as former Chairman. For the current Chairperson, please contact the Faculty of Arts and Languages office directly."
What is Law?,"Law is a system of rules, regulations, and principles established by a society or government to govern behavior, maintain order, resolve disputes, and protect rights. It encompasses various branches including criminal law, civil law, constitutional law, international law, corporate law, and human rights law."
What are the career opportunities in law?,"Career opportunities in law are diverse and rewarding. Graduates can work as lawyers, judges, legal advisors, corporate counsels, prosecutors, public defenders, legal researchers, law professors, policy analysts, human rights advocates, arbitrators, mediators, and legislative drafters. Law graduates also find careers in government agencies, international organizations, NGOs, banking, finance, journalism, and politics. Many also pursue further studies in public administration, international relations, or business."
What is Constitutional Law?,"Constitutional Law is the branch of law that deals with the interpretation, implementation, and application of a country's constitution. It defines the structure of government, distributes powers among different branches (executive, legislative, judicial), establishes fundamental rights and freedoms, and sets limits on state authority. Constitutional lawyers work on cases involving constitutional amendments, separation of powers, federalism, and civil liberties. This field is central to protecting democracy and the rule of law."
What is Criminal Law?,"Criminal Law is the body of law that defines offenses against society and prescribes punishments for those offenses. It covers crimes such as theft, assault, murder, fraud, and drug offenses. Criminal law establishes procedures for investigation, prosecution, defense, and sentencing. It protects public safety and order, and ensures that individuals accused of crimes receive fair trials and due process. Criminal lawyers work as prosecutors, defense attorneys, or judges within the criminal justice system."
What is International Law?,"International Law is a set of rules, treaties, and customs that govern relations between sovereign states and international organizations. It includes public international law (state sovereignty, war, human rights, treaties) and private international law (cross-border disputes, trade, business). International law addresses global issues such as peace and security, environmental protection, refugee rights, and international trade. It is enforced through international courts, tribunals, and diplomatic negotiations. International lawyers work with governments, the United Nations, the World Trade Organization, and non-governmental organizations."
Who is the Dean of the Faculty of Law?,"Prof. Dr. Rao Imran Habib is the Dean of the Faculty of Law at Abassia Campus, Islamia University of Bahawalpur. He presides over major academic events and briefs delegations on the faculty's activities and developments."
Who is the Incharge of the Department of Human Nutrition and Dietetics?,"Prof. Dr. Muhammad Akhtar serves as the Incharge of the Department of Human Nutrition and Dietetics at Khawaja Fareed Campus, Islamia University of Bahawalpur. He is a Professor of Pharmaceutics."
Who is the Head of the Department of Pharmacology?,"The Department of Pharmacology at Khawaja Fareed Campus, Islamia University of Bahawalpur, functions under the Faculty of Pharmacy and has organized various academic events including exhibitions and PhD defenses."
Who is the Head of the Department of Pharmaceutical Chemistry?,"The Department of Pharmaceutical Chemistry at Khawaja Fareed Campus, Islamia University of Bahawalpur, is part of the Faculty of Pharmacy and has faculty members including Abida Ejaz and Mohammad Kashif Mahmood."
Who is the Head of the Department of Pharmacognosy?,"The Department of Pharmacognosy at Khawaja Fareed Campus, Islamia University of Bahawalpur, is one of the four disciplines within the Department of Pharmacy under the Faculty of Pharmacy."
Who is the Head of the Department of Pharmacy Practice?,"The Department of Pharmacy Practice at Khawaja Fareed Campus, Islamia University of Bahawalpur, is one of the departments listed under the Faculty of Pharmacy."
Who is the Incharge of the Department of Medical Laboratory Technology?,"Dr. Quratul Ain serves as the Incharge of the Department of Medical Laboratory Technology at Khawaja Fareed Campus, Islamia University of Bahawalpur."
Who is the Incharge of the Department of Human Nutrition and Dietetics?,"Ms. Maryam Iftikhar serves as the Incharge of the Department of Human Nutrition and Dietetics at Khawaja Fareed Campus, Islamia University of Bahawalpur."
Who is the Incharge of the Department of Forensic Science?,"Dr. Qadir ul Hassan serves as the Incharge of the Department of Forensic Science at Khawaja Fareed Campus, Islamia University of Bahawalpur."
Who is the Incharge of the Department of Physical Therapy?,"Dr. Ayesha Basheer serves as the Incharge of the Department of Physical Therapy at Khawaja Fareed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Pharmacology?,"The Department of Pharmacology at Khawaja Fareed Campus, Islamia University of Bahawalpur, functions under the Faculty of Pharmacy and offers MPhil and PhD programs in Pharmacology."
Who is the Head of the Department of Pharmaceutical Chemistry?,"The Department of Pharmaceutical Chemistry at Khawaja Fareed Campus, Islamia University of Bahawalpur, is part of the Faculty of Pharmacy."
Who is the Head of the Department of Pharmacognosy?,"The Department of Pharmacognosy at Khawaja Fareed Campus, Islamia University of Bahawalpur, is one of the departments within the Faculty of Pharmacy."
Who is the Head of the Department of Pharmacy Practice?,"The Department of Pharmacy Practice at Khawaja Fareed Campus, Islamia University of Bahawalpur, is one of the departments under the Faculty of Pharmacy offering MPhil and PhD programs."
Who is the Head of the Department of Commerce?,"The Department of Commerce operates under the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Chairman of the Department of Entrepreneurship and Innovation?,"Dr. Hassan Danial Aslam serves as the Associate Professor and Chairman of the Department of Entrepreneurship and Innovation at the Institute of Business, Management and Administrative Sciences (IBMAS), Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Marketing and International Business?,"The Department of Marketing and International Business is one of the nine departments within the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Technology Management?,"The Department of Technology Management is one of the nine departments within the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Islamic and Commercial Banking?,"The Department of Islamic and Commercial Banking is one of the nine departments within the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Project and Operation Management?,"The Department of Project and Operation Management is one of the nine departments within the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Tourism and Hospitality Management?,"The Department of Tourism and Hospitality Management is one of the nine departments within the Institute of Business Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Commerce?,"The Department of Commerce functions under the Faculty of Management Sciences and Commerce at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Accounting and Finance?,"The Department of Accounting and Finance functions under the Faculty of Management Sciences and Commerce at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Chairman of the Department of Soil Science at IUB?,"Prof. Dr. Maqshoof Ahmad serves as the Chairman of the Department of Soil Science at the Faculty of Agriculture and Environment, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Dean of the Faculty of Management Sciences and Commerce at IUB?,"Prof. Dr. Jawad Iqbal serves as the Dean of the Faculty of Management Sciences and Commerce and Director of the Institute of Business, Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Chairman of the Department of Entrepreneurship and Innovation?,"Dr. Hassan Danial Aslam serves as the Associate Professor and Chairman of the Department of Entrepreneurship and Innovation at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Marketing and International Business?,"The Department of Marketing and International Business at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in marketing and international business."
Who is the Head of the Department of Technology Management?,"The Department of Technology Management at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in technology and innovation management."
Who is the Head of the Department of Islamic and Commercial Banking?,"The Department of Islamic and Commercial Banking at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in Islamic and commercial banking."
Who is the Head of the Department of Project and Operation Management?,"The Department of Project and Operation Management at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in project and operations management."
Who is the Head of the Department of Tourism and Hospitality Management?,"The Department of Tourism and Hospitality Management at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in tourism and hospitality management."
Who is the Head of the Department of Accounting and Finance?,"The Department of Accounting and Finance at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in accounting and finance."
Who is the Dean of the Faculty of Management Sciences and Commerce at IUB?,"Prof. Dr. Jawad Iqbal serves as the Dean of the Faculty of Management Sciences and Commerce and Director of the Institute of Business, Management and Administrative Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Chairman of the Department of Entrepreneurship and Innovation?,"Dr. Hassan Danial Aslam serves as the Associate Professor and Chairman of the Department of Entrepreneurship and Innovation at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Head of the Department of Marketing and International Business?,"The Department of Marketing and International Business at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in marketing and international business."
Who is the Head of the Department of Islamic and Commercial Banking?,"The Department of Islamic and Commercial Banking at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in Islamic and commercial banking."
Who is the Head of the Department of Project and Operation Management?,"The Department of Project and Operation Management at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in project and operations management."
Who is the Head of the Department of Tourism and Hospitality Management?,"The Department of Tourism and Hospitality Management at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in tourism and hospitality management."
