question,answer,status
GCRC ke email address ke baare mein kya maloom hai?,GCRC ne ek dedicated email address establish karne ka decision liya hai taake committee aur university stakeholders ke darmiyan efficient communication ho sakay .,BEST_ANSWER_SELECTED
Will GCRC have a dedicated email address?,"Yes, the GCRC has decided to establish a dedicated email address to facilitate efficient communication between the committee and the diverse stakeholders of the university .",BEST_ANSWER_SELECTED
GCRC ki Terms of Reference (TORs) kya cover karengi?,TORs committee ke mandate aur scope ko clarify karengi aur online aur offline complaint aur appeal forms ko design karengi .,BEST_ANSWER_SELECTED
Can I appeal a GCRC decision?,GCRC comprehensive Terms of Reference (TORs) develop kar rahi hai jo complaint aur appeal forms ko design karegi. Is se appeal process clear ho jayega .,BEST_ANSWER_SELECTED
What is IUB's zero-tolerance policy on harassment and how does it operate?,"IUB has a strict zero-tolerance policy on any kind of harassment. A Center for Anti-Harassment and Discrimination has been established at the university to address such matters. The Anti-Harassment Committee investigates complaints, and the Vice Chancellor has directed deans to submit reports promptly for thorough investigation . For reporting incidents, you should contact the Anti-Harassment Committee or the Center for Anti-Harassment and Discrimination directly.",MERGED
How can I submit a complaint to the General Complaint Redressal Committee (GCRC) at IUB?,"You can submit a complaint through the user-friendly complaint redressal portal integrated within the MyIUB platform, by email, or via hard copy. All complaints must include your name, signature, CNIC/IUB card number, and contact details as anonymous complaints are not accepted .",BEST_ANSWER_SELECTED
Who is the head of the GCRC at IUB and what is the committee's purpose?,"The GCRC operates under the expert guidance of Prof. Dr. Saeed Ahmad Buzdar, Incharge Faculty of Physical and Mathematical Sciences. The committee addresses complaints from both students and faculty members to ensure expeditious handling in accordance with university regulations .",BEST_ANSWER_SELECTED
Where can I find the contact information for GCRC members?,"The GCRC has made its constitution, membership details, and contact information available on the university's official website and various social media platforms to ensure transparency and accessibility for all stakeholders .",BEST_ANSWER_SELECTED
"Does IUB accept complaints via email, and what is the process?","Yes, the GCRC has established a dedicated email address to facilitate efficient communication. When submitting a complaint via email, you must include your signature, name, CNIC/IUB card number, and contact details as per the committee's non-anonymity policy .",BEST_ANSWER_SELECTED
What is the commitment of IUB's GCRC regarding transparency?,"The GCRC is committed to transparency and accessibility. It has decided to make its constitution, membership details, and contact information available on the university's official website and social media platforms .",BEST_ANSWER_SELECTED
What information is required when submitting a complaint to the GCRC?,"Complaints must include the complainant's signature, name, designation, CNIC/IUB card number (for employees), or student's Name, Roll No., Program, Session, Department, and Campus details, along with contact information .",BEST_ANSWER_SELECTED
When was the GCRC established at IUB and what was its goal?,The GCRC was established in September 2023 to improve grievance resolution for students and faculty. Its goal is to ensure expeditious handling of issues in accordance with university regulations and within stipulated timeframes .,BEST_ANSWER_SELECTED
What are the Terms of Reference (TORs) for the GCRC?,The GCRC is developing comprehensive Terms of Reference (TORs) to provide a detailed explanation of its mandate and scope. These TORs will encompass the design of both online and offline complaint and appeal forms .,BEST_ANSWER_SELECTED
What is IUB's policy on anti-harassment and discrimination?,IUB has a zero-tolerance policy on any kind of harassment. The university has established a Center for Anti-Harassment and Discrimination to address such matters. The Anti-Harassment Committee investigates complaints and ensures thorough action .,BEST_ANSWER_SELECTED
Does IUB have a dedicated anti-harassment committee?,"Yes, IUB has an Anti-Harassment Committee that investigates complaints related to harassment and discrimination. The committee operates under the university's zero-tolerance policy and follows HEC guidelines for handling such matters .",BEST_ANSWER_SELECTED
Can faculty members also submit complaints to the GCRC?,"Yes, the GCRC is specifically established to address complaints and concerns from both students and faculty members, ensuring that all university stakeholders have access to grievance resolution mechanisms .",BEST_ANSWER_SELECTED
What is the significance of the GCRC being established at IUB?,"The establishment of the GCRC represents a progressive step toward improving grievance resolution at IUB. It demonstrates the university's commitment to transparency, accessibility, and the expeditious handling of complaints from students and faculty .",BEST_ANSWER_SELECTED
How can students submit hard copy complaints to the GCRC?,"Students can submit hard copy complaints to the GCRC. All hard copy complaints must include the student's signature, Name, Roll No., Program, Session, Department, and Campus details, along with contact information .",BEST_ANSWER_SELECTED
Is there a specific format for GCRC complaints?,"The GCRC is developing comprehensive Terms of Reference (TORs) that will encompass the design of both online and offline complaint forms, providing a clear and precise format for submissions .",BEST_ANSWER_SELECTED
Where will GCRC information and updates be posted?,"Information regarding the GCRC mandate, procedures, and contact details will be posted on the university's official website, social media platforms, and prominently displayed notice boards across campuses .",BEST_ANSWER_SELECTED
How does the GCRC ensure transparency in handling complaints?,"The GCRC ensures transparency by requiring all complaints to include the complainant's identification details, making committee information publicly available, and establishing clear Terms of Reference for its operations .",BEST_ANSWER_SELECTED
Are GCRC meetings open to the public?,"GCRC meetings are typically internal, but the committee disseminates its decisions and developments through official communications and university platforms to keep the community informed .",BEST_ANSWER_SELECTED
Can a student submit a complaint on behalf of another student?,"While a student may assist another in submitting a complaint, the GCRC requires the complaint to include the complainant's signature and identification details. The student filing the complaint must identify themselves .",BEST_ANSWER_SELECTED
Does the GCRC handle complaints about faculty conduct?,"Yes, the GCRC addresses complaints from both students and faculty members, including concerns about faculty conduct, in accordance with university regulations .",BEST_ANSWER_SELECTED
Is there an appeal process for GCRC decisions?,"The GCRC is developing Terms of Reference (TORs) that will design both online and offline appeal forms, establishing a clear and precise appeal process for decisions .",BEST_ANSWER_SELECTED
How can I check my admission merit list status at IUB?,Merit lists are uploaded on the official IUB website under the admissions section. You will need your application number or CNIC to view your result. Check the specific portal for your program.,BEST_ANSWER_SELECTED
I am on the waiting list for admission. What should I do next?,"If you are on the waiting list, you should regularly check the IUB website and your student portal for updates. The admission office may contact you if a seat becomes available.",BEST_ANSWER_SELECTED
How do I accept my admission offer at IUB?,"To accept your admission offer, log in to the IUB admission portal and follow the instructions to confirm your seat. You may also need to pay the admission fee within the specified deadline.",BEST_ANSWER_SELECTED
My admission application has incorrect information. How can I correct it?,"If you have submitted incorrect information in your admission application, contact the IUB Admission Cell immediately. They will guide you on the correction procedure. Do not submit a new application unless instructed.",BEST_ANSWER_SELECTED
Can I submit a duplicate admission application at IUB?,"Submitting duplicate applications is generally discouraged. If you have submitted two applications, contact the Admission Cell to clarify which one should be processed. They will guide you on the next steps.",BEST_ANSWER_SELECTED
How can I track my admission application status at IUB?,"You can track your admission application status by logging into the official IUB admission portal. The status will show as 'Submitted', 'Under Review', 'Selected', or 'Rejected'. For any issues, contact the Admission Cell.",BEST_ANSWER_SELECTED
Does IUB conduct admission interviews for all programs?,"Admission interviews are not required for all programs. Some departments may conduct interviews for specific programs, especially at the postgraduate level. Check the program-specific admission criteria on the IUB website.",BEST_ANSWER_SELECTED
When will the admission entry test result be announced at IUB?,The entry test result is announced on the IUB website and student portal. Keep checking the admission section for updates. Contact the Directorate of Academics if you have any concerns.,BEST_ANSWER_SELECTED
How is the admission merit calculated at IUB?,Merit is typically calculated based on your academic record and entry test performance. The exact formula may vary by program. Check the admission advertisement or contact the Admission Cell for the specific merit calculation criteria.,BEST_ANSWER_SELECTED
Does IUB have reserved seats for minority students?,"IUB follows government policies regarding reserved seats for minority and special quota students. For specific quota information, check the admission advertisement or contact the Admission Cell.",BEST_ANSWER_SELECTED
Can I cancel my admission after confirmation at IUB?,"Yes, you can cancel your admission by submitting a formal application to the Admission Cell. The refund policy, if applicable, will be governed by university rules. Contact the Admission Cell for the specific procedure.",BEST_ANSWER_SELECTED
Can I defer my admission to the next semester at IUB?,Admission deferral may be allowed in exceptional circumstances. You must submit a formal application to the Admission Cell explaining your reason. The decision will be made by the relevant authority.,BEST_ANSWER_SELECTED
Can I provisionally take admission if I am awaiting my final results?,"Yes, IUB allows provisional admission for students awaiting final results. You must submit an undertaking that you will provide the final result within the specified deadline. Failure to do so may result in admission cancellation.",BEST_ANSWER_SELECTED
Why was my admission application rejected?,"Admission applications may be rejected for various reasons including incomplete documentation, failure to meet eligibility criteria, or low merit ranking. You can contact the Admission Cell for specific feedback on your application.",BEST_ANSWER_SELECTED
My admission application is incomplete. What should I do?,"If your admission application is incomplete, you will likely receive a notification from the Admission Cell. Submit the missing documents as soon as possible within the specified deadline to avoid rejection.",BEST_ANSWER_SELECTED
How do I confirm that my admission fee payment was received at IUB?,"Log in to your student portal to check your fee payment status. You can also keep your bank challan receipt as proof. If the payment is not reflected within a few days, contact the Accounts Office or Treasurer's Office.",BEST_ANSWER_SELECTED
I am having technical problems with the admission portal. What should I do?,"If you are having technical problems with the admission portal, first try clearing your browser cache or using a different browser. If the problem persists, contact the IUB IT Help Desk for assistance.",BEST_ANSWER_SELECTED
What is the duration of the BS Computer Science program at IUB?,"The duration of the BS Computer Science program at IUB is typically 4 years, comprising 8 semesters. However, the exact duration may vary depending on your course load and academic progress. Check the program curriculum on the IUB website for details.",BEST_ANSWER_SELECTED
Where is the Computer Science department located at IUB?,"The Computer Science department is part of the Faculty of Computing at IUB. The main offices and classrooms are located on the Baghdad-ul-Jadeed Campus. For specific location details, refer to the campus map on the IUB website.",BEST_ANSWER_SELECTED
How can I contact the Computer Science department at IUB?,The Computer Science department contact details can be found on the IUB website under the faculty/department directory. You may also contact the department through the main IUB helpline at 0346-9255555.,BEST_ANSWER_SELECTED
Who is the program coordinator for BS Economics at IUB?,"The program coordinator for BS Economics can be contacted through the Department of Economics, Faculty of Social Sciences. For specific contact information, please visit the departmental page on the IUB website or contact the Faculty office.",BEST_ANSWER_SELECTED
What are the eligibility criteria for the MBA program at IUB?,"The eligibility criteria for the MBA program vary by specialization. Generally, applicants must hold a Bachelor's degree with a minimum CGPA. For specific eligibility requirements, please check the program page on the IUB website or contact the Department of Management Sciences.",BEST_ANSWER_SELECTED
Does IUB offer evening or weekend programs?,"The availability of evening or weekend programs varies by program and semester. IUB has introduced weekend programs for MPhil degrees. For current program offerings, check the IUB website or contact the Directorate of Advanced Studies and Research .",BEST_ANSWER_SELECTED
What are the specialization options available in the BS Psychology program at IUB?,"The BS Psychology program may offer specializations such as Clinical Psychology, Educational Psychology, or Organizational Psychology. For current specialization options, check the program curriculum on the IUB website or contact the Department of Psychology.",BEST_ANSWER_SELECTED
How many credit hours are required to complete the BS English program at IUB?,"The total credit hours required for the BS English program at IUB are typically 130-136, spread across 8 semesters. For the exact credit-hour requirements, consult the program curriculum on the IUB website.",BEST_ANSWER_SELECTED
Where can I find the course catalog for IUB programs?,"The course catalog for IUB programs is available on the university website under the academics section. It provides detailed information about program structures, course descriptions, and degree requirements.",BEST_ANSWER_SELECTED
How can I check my degree progress at IUB?,You can check your degree progress by reviewing your academic record in the student portal. Your advisor can also help you track your progress towards completing the degree requirements.,BEST_ANSWER_SELECTED
How many credit hours do I have remaining to complete my degree?,"You can calculate your remaining credit hours by comparing your completed credits against your program's total requirements. This information is available in your student portal. For personalized assistance, contact your academic advisor.",BEST_ANSWER_SELECTED
What are the prerequisite courses for the Machine Learning course at IUB?,"The prerequisite courses for Machine Learning typically include Programming Fundamentals, Data Structures, and Probability & Statistics. For specific prerequisites, check the course description in the course catalog or contact the department offering the course.",BEST_ANSWER_SELECTED
My two courses have a timetable conflict. What should I do?,"If you have a timetable conflict, you should contact your academic advisor or the department offering the courses. They may suggest alternative sections or courses. In some cases, you may need to drop one of the courses.",BEST_ANSWER_SELECTED
A course section I need is closed. Can I still register?,Closed sections may still have limited seats available. You should contact the department offering the course to inquire about possible seat openings or waitlisting. You may also choose an alternative section or course.,BEST_ANSWER_SELECTED
Can I add a course after the add/drop deadline at IUB?,"Adding a course after the add/drop deadline is generally not permitted. In exceptional circumstances, you may submit a petition to the department. Late adds are subject to approval and may require the instructor's consent.",BEST_ANSWER_SELECTED
Can I drop a course after the withdrawal deadline at IUB?,Dropping a course after the withdrawal deadline is generally not allowed. You would need to submit a petition with a valid reason to the department. Late withdrawal may result in a 'W' grade on your transcript.,BEST_ANSWER_SELECTED
How can I change my course section at IUB?,"Section changes are permitted during the add/drop period. To change your section, you must process the change through the student portal within the allowed timeframe. After the add/drop period, section changes require department approval.",BEST_ANSWER_SELECTED
How do I repeat a course I previously failed at IUB?,"To repeat a failed course, you must re-register for the course when it is next offered. The failed grade will remain on your transcript, but the new grade will be included in your CGPA calculation. Check the academic regulations for details.",BEST_ANSWER_SELECTED
How can I get academic advising at IUB?,"You can get academic advising from your assigned academic advisor, who is typically a faculty member from your department. You can also seek guidance from the Directorate of Academics for general academic planning.",BEST_ANSWER_SELECTED
How can I create a semester study plan at IUB?,You can create a semester study plan in consultation with your academic advisor. The plan should outline the courses you intend to take each semester to ensure timely graduation. The course catalog can help you plan your schedule.,BEST_ANSWER_SELECTED
Where can I find a degree audit form or system at IUB?,Degree audits are typically available through the student portal. It allows you to track your progress toward degree completion by comparing completed courses against program requirements. Contact your advisor for assistance.,BEST_ANSWER_SELECTED
The student portal keeps logging me out. What should I do?,"If the student portal keeps logging you out, clear your browser cache and cookies. Ensure you are using a supported browser. If the problem persists, contact the IUB IT Help Desk for assistance.",BEST_ANSWER_SELECTED
My student portal says my account is temporarily locked. How can I unlock it?,"Your account may be locked for security reasons. Please wait a few minutes and try again. If the lock persists, use the 'Forgot Password' or account recovery option. Contact the IT Help Desk if you need further assistance.",BEST_ANSWER_SELECTED
My student information is incorrect in the portal. How can I fix it?,"If your student information is incorrect, you should contact the Registrar's Office to request a correction. You may need to provide supporting documents. In some cases, you can update certain information through the student portal.",BEST_ANSWER_SELECTED
Why are my fees not showing correctly in the student portal?,"If your fees are not showing correctly, there may be a synchronization issue. Wait for 24-48 hours after payment. If the problem persists, contact the Treasurer's Office with your payment receipt.",BEST_ANSWER_SELECTED
My registration information is missing from the student portal. What should I do?,"If your registration information is missing, check your registration status. You may have registration holds or outstanding dues. If the issue continues, contact the Registrar's Office or your department office.",BEST_ANSWER_SELECTED
How do I get notifications from the student portal?,You can manage your notification preferences in the student portal settings. Ensure your contact information is up to date to receive important alerts. Check the portal regularly for official announcements.,BEST_ANSWER_SELECTED
My student portal is not working on my mobile device. What should I do?,"If the student portal is not working on your mobile device, try using a different browser or ensure you have a stable internet connection. The portal may also be accessible through a mobile app if available. Contact the IT Help Desk for assistance.",BEST_ANSWER_SELECTED
Can I submit my assignment after the deadline on IUB-LMS?,Submitting an assignment after the deadline is generally not permitted unless you have prior approval from your instructor. Late submissions may receive a penalty. Contact your instructor directly if you have a valid reason for the delay.,BEST_ANSWER_SELECTED
Why is my quiz not opening on IUB-LMS?,"If your quiz is not opening, check your internet connection and browser compatibility. Ensure you are using a supported browser and have the latest updates. If the problem persists, contact your instructor or the LMS support.",BEST_ANSWER_SELECTED
Some course content is missing on my IUB-LMS. What should I do?,"If course content is missing on IUB-LMS, first check with your instructor to confirm if the content has been uploaded. Refresh the page or try a different browser. If the issue continues, report it to the LMS support.",BEST_ANSWER_SELECTED
The discussion forum is not working on my IUB-LMS. What should I do?,"If the discussion forum is not working, try refreshing the page or using a different browser. Ensure you have a stable internet connection. If the problem persists, contact the IT Help Desk.",BEST_ANSWER_SELECTED
How do I check my attendance record on IUB-LMS?,"You can check your attendance record on IUB-LMS by navigating to the attendance section for the course. If attendance is not visible, contact your instructor for a manual check.",BEST_ANSWER_SELECTED
I am having trouble submitting a file on IUB-LMS. What file formats are supported?,"IUB-LMS supports common file formats including PDF, DOC, DOCX, PPT, and JPG. If you are having trouble, check that your file meets the size and format requirements. Contact LMS support if the problem continues.",BEST_ANSWER_SELECTED
The video lecture is not playing on IUB-LMS. What should I do?,"If a video lecture is not playing, check your internet connection and browser compatibility. Ensure you have the latest media player or browser updates. If the problem persists, contact the IT Help Desk.",BEST_ANSWER_SELECTED
How can I download lecture materials from IUB-LMS?,"You can download lecture materials from IUB-LMS by selecting the file and clicking the download option. If the download option is not available, the instructor may not have enabled download permissions. Contact your instructor for assistance.",BEST_ANSWER_SELECTED
How can a teacher upload course material on IUB-LMS?,Teachers can upload course material on IUB-LMS by navigating to the course page and selecting 'Add Content' or 'Upload Material'. The exact steps are available in the teacher training manual. Contact LMS support for assistance.,BEST_ANSWER_SELECTED
How can a teacher create assignments on IUB-LMS?,"Teachers can create assignments on IUB-LMS by navigating to the 'Assignments' section and selecting 'Create Assignment'. The instructor can set deadlines, grade criteria, and submission requirements. Contact LMS support if you need help.",BEST_ANSWER_SELECTED
How can a teacher grade assignments on IUB-LMS?,Teachers can grade assignments on IUB-LMS by navigating to the assignment submission page and entering grades for each student. The grades may be automatically synced with the gradebook. Contact LMS support for detailed instructions.,BEST_ANSWER_SELECTED
How can faculty access student enrollment information at IUB?,"Faculty can access student enrollment information for their courses through the IUB-LMS or the faculty portal. For detailed enrollment reports, contact the department office or the Registrar's Office.",BEST_ANSWER_SELECTED
How can a teacher record attendance on IUB-LMS?,Teachers can record attendance by navigating to the attendance section of the course page and selecting the date. They can mark students as present or absent. Contact LMS support if you encounter issues.,BEST_ANSWER_SELECTED
How can faculty correct an attendance entry on IUB-LMS?,"To correct an attendance entry, teachers can edit the attendance record directly on the LMS if the functionality is enabled. Otherwise, they must contact the department office for assistance.",BEST_ANSWER_SELECTED
How can a teacher submit internal assessment marks at IUB?,Teachers can submit internal assessment marks through the designated examination portal or LMS. The specific procedure is communicated by the Examination Division at the start of each semester.,BEST_ANSWER_SELECTED
How can faculty submit final grades at IUB?,Faculty submit final grades through the examination portal or LMS within the specified deadline. The exact process is outlined in the guidelines provided by the Examination Division.,BEST_ANSWER_SELECTED
How can a teacher request correction of submitted marks at IUB?,"To request a correction of submitted marks, the teacher must contact the Examination Division with a valid reason. Any changes to submitted marks require approval from the relevant authority.",BEST_ANSWER_SELECTED
How can faculty access examination schedules at IUB?,Faculty can access examination schedules through the IUB website or the faculty portal. The Examination Division also communicates important schedule information to departments.,BEST_ANSWER_SELECTED
How can a teacher report an examination issue at IUB?,"If a teacher encounters an examination issue, they should contact the Examination Division immediately. The division provides support for issues such as exam paper problems, room changes, or student misconduct.",BEST_ANSWER_SELECTED
How can faculty request academic leave at IUB?,Faculty can request academic leave by submitting a formal application through their department head to the Registrar's Office. The application should include the reason and duration of leave. Contact the Admin Section for details.,BEST_ANSWER_SELECTED
How can faculty update their profile information at IUB?,Faculty can update their profile information by contacting the Human Resources Department or the Registrar's Office. Some updates may be possible through the faculty portal.,BEST_ANSWER_SELECTED
How can faculty access university policies at IUB?,University policies are available on the IUB website under the relevant sections. Faculty can also contact the Registrar's Office or the Quality Enhancement Cell (QEC) for policy-related inquiries.,BEST_ANSWER_SELECTED
What programs are offered by IUB?,"IUB offers a wide range of undergraduate, graduate, and postgraduate programs across its 15 faculties, including Arts and Languages, Social Sciences, Computing, Engineering and Technology, Law, Management Sciences and Commerce, Medicine and Allied Health Sciences, Pharmacy, Agriculture and Environment, Veterinary and Animal Sciences, Physical and Mathematical Sciences, Chemical and Biological Sciences, Islamic and Arabic Studies, Education, and Online and Distance Education .",BEST_ANSWER_SELECTED
Which programs are available at Baghdad ul Jadeed Campus?,"The Baghdad ul Jadeed Campus hosts most faculties including Arts and Languages, Social Sciences, Computing, and Management Sciences. It also houses the Sir Sadiq Muhammad Khan Library and the Directorate of Students Affairs .",BEST_ANSWER_SELECTED
Which faculty offers BS programs in computing at IUB?,"The Faculty of Computing at IUB offers BS programs in Computer Science, Information Technology, Software Engineering, Information Systems, Digital Media, Networks and Telecommunications, and Internet of Things .",BEST_ANSWER_SELECTED
What departments are under the Faculty of Engineering at IUB?,"The Faculty of Engineering and Technology at IUB includes departments such as Telecommunication Engineering, Electrical Engineering Technology, Biomedical Engineering Technology, Intelligent Systems and Robotics, Information Engineering Technology, Aviation Sciences, and Aircraft Maintenance .",BEST_ANSWER_SELECTED
Where is the Department of Information and Communication Engineering located?,The Department of Information and Communication Engineering is part of the Faculty of Engineering and Technology at IUB. The department offices are located on the Baghdad ul Jadeed Campus .,BEST_ANSWER_SELECTED
Which office handles admission queries at IUB?,The IUB Admission Cell handles admission-related queries and can be contacted at 062-9255858. The Directorate of Academics also assists with admission matters and can be reached at 062-9255075 .,BEST_ANSWER_SELECTED
Where is the Registrar's Office at IUB?,"The Registrar's Office is located at the Abbasia Campus. You can contact them at 062-9250235 or via email at registrar@iub.edu.pk for transcripts, enrollment certificates, degree certificates, and other official documents .",BEST_ANSWER_SELECTED
Where can I contact the Accounts Office at IUB?,The Treasurer's Office (Accounts Division) handles financial matters and can be contacted at 062-9250245 or via email at treasurer@iub.edu.pk. The office is located at the Abbasia Campus .,BEST_ANSWER_SELECTED
Where is the Controller of Examinations at IUB?,"The Examination Division (Controller of Examinations) is located at the Abbasia Campus. You can contact them at 062-9250241 or 062-9250243, and via email at controller@iub.edu.pk .",BEST_ANSWER_SELECTED
Which campus has the main library at IUB?,"The main library, Sir Sadiq Muhammad Khan Library, is located at the Baghdad ul Jadeed Campus. It serves as a dynamic hub of knowledge, innovation, and academic excellence .",BEST_ANSWER_SELECTED
Where is the scholarship office at IUB?,"The Directorate of Financial Assistance (DFA) manages scholarship programs at IUB. The DFA is located in the Syed Tabish Alwari Building, Baghdad ul Jadeed Campus. You can contact them at 0092-62-9255066 or via email at dfa@iub.edu.pk .",BEST_ANSWER_SELECTED
Where can students submit complaints at IUB?,"Students can submit complaints through the General Complaint Redressal Committee (GCRC) via the MyIUB portal, dedicated email, or hard copy. Anonymous complaints are not accepted. The committee is guided by Prof. Dr. Saeed Ahmad Buzdar, Incharge Faculty of Physical and Mathematical Sciences .",BEST_ANSWER_SELECTED
What services does the IUB library provide?,"The IUB Library provides open access e-books, a 'Corner for Special People' with computers, printer, and scanner for students with special needs, and a Group Discussion Area for collaborative study. Professional library staff are available to assist students with research and academic needs .",BEST_ANSWER_SELECTED
How can students contact the Career Counseling Center at IUB?,"The Career Counseling and Placement Center (CCPC) is headed by Director Muhammad Shahid Afzal Durrani. Their office is located in the Syed Tabish Alwari Building, Baghdad ul Jadeed Campus. You can contact them at shahid.durrani@iub.edu.pk .",BEST_ANSWER_SELECTED
Where can faculty submit research-related requests at IUB?,"Faculty members can submit research-related requests to the Office of Research, Innovation and Commercialization (ORIC) at IUB. ORIC supports research by mobilizing resources from funding bodies and establishing institutional collaborations .",BEST_ANSWER_SELECTED
What services does the Career Counseling and Placement Center provide to IUB students?,"The CCPC provides career counseling for graduating students, training and skills development, and helps create opportunities for internships and placements. The center also arranges expert talks and seminars for academic and soft skills development .",BEST_ANSWER_SELECTED
Where can I find the academic calendar for IUB?,"The official academic calendar is available on the IUB website under the 'Academics' section. It contains important dates including the start of classes, exam schedules, holidays, and registration deadlines.",BEST_ANSWER_SELECTED
Which campus has the Faculty of Social Sciences at IUB?,"The Faculty of Social Sciences is located at the Abbasia Campus. It includes departments such as Economics, Sociology, Social Work, Political Science, and Psychology .",BEST_ANSWER_SELECTED
Where can I find official IUB announcements?,"Official IUB announcements are published on the university website, student portal, and official social media channels. Important notifications are also displayed on departmental notice boards.",BEST_ANSWER_SELECTED
How can I verify an official IUB notice?,"To verify an official IUB notice, check the university website for the same notification. If you are unsure, contact the relevant administrative office for confirmation.",BEST_ANSWER_SELECTED
Where can I find IUB official forms?,IUB official forms are available on the university website under the relevant sections. Some forms are also available through the student portal or at the respective administrative offices.,BEST_ANSWER_SELECTED
Which office handles academic records at IUB?,"The Registrar's Office handles academic records, transcripts, enrollment certificates, degree certificates, and other official documents at IUB .",BEST_ANSWER_SELECTED
Which office handles financial matters at IUB?,"The Treasurer's Office handles financial matters including fee challans, payment issues, refunds, and financial holds .",BEST_ANSWER_SELECTED
Which office handles student affairs at IUB?,"The Directorate of Students Affairs (DSA) handles student affairs including hostel matters, student societies, sports, and student support services .",BEST_ANSWER_SELECTED
Which office handles admission matters at IUB?,The IUB Admission Cell handles admission matters. The Directorate of Academics also assists with admission-related queries .,BEST_ANSWER_SELECTED
Which office handles hostel matters at IUB?,The Directorate of Students Affairs (DSA) handles hostel matters. The hostel wardens also assist with day-to-day hostel issues .,BEST_ANSWER_SELECTED
What undergraduate programs does IUB offer?,"IUB offers BS programs in fields including Arts and Languages, Social Sciences, Computing, Engineering and Technology, Law, Management Sciences, Medicine and Allied Health Sciences, Pharmacy, Agriculture and Environment, Veterinary and Animal Sciences, Physical and Mathematical Sciences, and Chemical and Biological Sciences .",BEST_ANSWER_SELECTED
What postgraduate programs does IUB offer?,"IUB offers MPhil, MS, MSc (Hons), MBA, LLM, and PhD programs across various academic departments in disciplines ranging from Natural Sciences, Social Sciences, Business & Management, to Arts and Humanities .",BEST_ANSWER_SELECTED
Which departments offer engineering programs at IUB?,"The Faculty of Engineering and Technology at IUB offers programs through its departments including Telecommunication Engineering, Electrical Engineering Technology, Biomedical Engineering Technology, Intelligent Systems and Robotics, Information Engineering Technology, Aviation Sciences, and Aircraft Maintenance .",BEST_ANSWER_SELECTED
Where is the Faculty of Medicine and Allied Health Sciences located?,"The Faculty of Medicine and Allied Health Sciences is primarily located at the Khawaja Fareed Campus, offering programs including Public Health, Forensic Science, and other allied health disciplines .",BEST_ANSWER_SELECTED
What research support services does IUB provide to students and faculty?,"IUB provides research support through the Office of Research, Innovation and Commercialization (ORIC), which helps mobilize research funding, supports research collaborations, and protects intellectual property. The library also provides research databases and journal access .",BEST_ANSWER_SELECTED
Where is the Accounts Office located at IUB?,The Treasurer's Office (Accounts Division) is located at the Abbasia Campus. You can contact them at 062-9250245 or via email at treasurer@iub.edu.pk for fee-related queries .,BEST_ANSWER_SELECTED
Which campus has the Faculty of Agriculture and Environment at IUB?,"The Faculty of Agriculture and Environment is primarily located at the Bagh-e-Jinnah Campus. This campus specializes in agriculture, veterinary, and related sciences .",NEEDS_VERIFICATION
Where is the Directorate of Students Affairs (DSA) located?,"The Directorate of Students Affairs (DSA) is located in the Syed Tabish Alwari Building, Baghdad ul Jadeed Campus. You can contact them at 0092-62-9255560 or via email at dsaf@iub.edu.pk .",BEST_ANSWER_SELECTED
Where can I find the IUB Helpline Center?,"The IUB Helpline Center can be contacted at 0346-9255555, 0347-9255555, or 062-9255580. The center assists with general university-related inquiries .",BEST_ANSWER_SELECTED
Which office handles degree verification requests at IUB?,The Registrar's Office handles degree verification requests. You can contact them at 062-9250235 or via email at registrar@iub.edu.pk .,BEST_ANSWER_SELECTED
"Where is the Office of Research, Innovation and Commercialization (ORIC) located?",The ORIC office is located at IUB. Prof. Dr. Muhammad Atif is the Director of ORIC. You can visit their office on campus or check the IUB website for specific location details.,BEST_ANSWER_SELECTED
How can I find the contact information for a specific department at IUB?,Department contact information is available on the IUB website under the faculty/department directory. You can also contact the main IUB Helpline at 0346-9255555 for assistance.,BEST_ANSWER_SELECTED
Where can I find a campus map for IUB?,"A campus map for IUB is available on the university website. It shows the locations of academic buildings, administrative offices, hostels, and other facilities.",BEST_ANSWER_SELECTED
Which campus has the Faculty of Law at IUB?,The Faculty of Law is located at the Abbasia Campus. The faculty building has been expanded with new classrooms and faculty rooms .,BEST_ANSWER_SELECTED
Where is the Quality Enhancement Cell (QEC) located at IUB?,"The Quality Enhancement Cell (QEC) is located at the Syed Tabish Alwari Block, BJC, IUB, Bahawalpur. Prof. Dr. M. Asadullah Madni is the Director QEC .",BEST_ANSWER_SELECTED
Where is the Central Admission Center located for admissions at IUB?,"The Central Admission Center for IUB admissions is located at the Abbasia Campus. It provides one-window facilities including e-portal application, document verification, and banking services .",BEST_ANSWER_SELECTED
Which office handles student financial assistance at IUB?,"The Directorate of Financial Assistance (DFA) handles student financial assistance and scholarships. The DFA is located in the Syed Tabish Alwari Building, Baghdad ul Jadeed Campus .",BEST_ANSWER_SELECTED
Where can I get a No Dues certificate from at IUB?,A No Dues certificate is obtained from the Registrar's Office after clearing all financial and other obligations with the university. You must get clearance from various offices before the certificate is issued.,BEST_ANSWER_SELECTED
Where can I find the IUB academic calendar for the current year?,"The IUB academic calendar is available on the university website under the 'Academics' section. It includes important dates for admissions, registration, exams, and holidays.",BEST_ANSWER_SELECTED
